"code","value"
"🟥","7,142"
"🏻","7,107"
"✌️","7,104"
"🌘","7,076"
"🧘","7,019"
"🎤","7,005"
"🤬","6,988"
"🐱","6,961"
"🌼","6,955"
"🤏","6,952"
"🦴","6,947"
"🦸","6,944"
"✉️","6,885"
"🎊","6,881"
"🍫","6,859"
"⬆️","6,837"
"⏳","6,836"
"🫳","6,830"
"😩","6,746"
"🍃","6,646"
"📲","6,642"
"😤","6,595"
"💵","6,554"
"🎈","6,466"
"😟","6,432"
"😵‍💫","6,421"
"☝️","6,394"
"💲","6,384"
"🇨🇦","6,379"
"🎇","6,336"
"🥇","6,319"
"👈","6,315"
"🚫","6,253"
"🎆","6,207"
"📊","6,177"
"🟡","6,174"
"😛","6,076"
"📦","6,048"
"👨‍💻","6,047"
"🕯️","6,040"
"🤝🏻","6,032"
"🥷🏻","6,027"
"🌺","6,010"
"🧐","6,003"
"⌛","6,001"
"🌖","5,999"
"🍆","5,955"
"☹️","5,951"
"♠️","5,935"
"🇵🇰","5,926"
"👶","5,909"
"😫","5,898"
"🦇","5,884"
"👎","5,799"
"🤌🏼","5,718"
"1️⃣","5,718"
"🐦","5,677"
"🪙","5,676"
"⚰️","5,631"
"🫃","5,623"
"🏃","5,598"
"😐","5,567"
"😕","5,541"
"🌞","5,507"
"⚖️","5,495"
"👁️","5,484"
"🍌","5,471"
"🇩🇪","5,447"
"🎃","5,413"
"🛺","5,407"
"😥","5,387"
"🍑","5,385"
"🤮","5,377"
"🍂","5,347"
"🌱","5,341"
"👧","5,308"
"🍷","5,279"
"🐒","5,269"
"🔵","5,265"
"🍭","5,251"
"📄","5,227"
"🎬","5,145"
"🍳","5,141"
"🔑","5,130"
"➕","5,096"
"🍿","5,075"
"🔝","5,053"
"🏴‍☠️","5,043"
"🗑️","5,042"
"🤦‍♀️","4,949"
"🥟","4,920"
"👪","4,914"
"🫆","4,906"
"📜","4,891"
"⌚","4,877"
"🌍","4,868"
"🏢","4,820"
"🪯","4,798"
"📁","4,788"
"🏴󠁧󠁢󠁥󠁮󠁧󠁿","4,779"
"😓","4,756"
"💨","4,754"
"🤙","4,745"
"🇳🇵","4,743"
"🍕","4,739"
"🛡️","4,738"
"😬","4,733"
"🌾","4,702"
"🪫","4,688"
"🗳️","4,629"
"👾","4,629"
"🇳🇿","4,621"
"💊","4,618"
"🐉","4,587"
"🌏","4,585"
"🔎","4,535"
"🍰","4,502"
"🎙️","4,490"
"🤲","4,489"
"😶","4,485"
"🫥","4,472"
"👆","4,436"
"🌝","4,421"
"🥭","4,405"
"💼","4,391"
"🤐","4,383"
"🌪️","4,326"
"😰","4,304"
"🧊","4,298"
"🧋","4,294"
"🥁","4,280"
"🇷🇺","4,237"
"‼️","4,214"
"👸🏻","4,205"
"🍀","4,174"
"💪🏻","4,146"
"🌴","4,130"
"🫳🏻","4,117"
"🍽️","4,112"
"🛏️","4,109"
"💳","4,066"
"✏️","4,059"
"😙","4,055"
"🎫","4,055"
"🇹🇭","4,042"
"⚫","4,033"
"🔋","4,027"
"🐈","4,025"
"🏫","4,019"
"🪻","4,016"
"😗","4,010"
"🍻","4,007"
"🇫🇷","4,005"
"🇿🇦","3,991"
"🪨","3,978"
"❎","3,968"
"🫏","3,955"
"🥚","3,952"
"👿","3,940"
"🖇️","3,937"
"🧵","3,928"
"💤","3,928"
"🔹","3,919"
"😻","3,918"
"🦷","3,915"
"🗺️","3,911"
"2️⃣","3,902"
"🐎","3,901"
"🪦","3,900"
"🧬","3,886"
"💧","3,880"
"🔐","3,861"
"👊","3,856"
"🔮","3,829"
"🛠️","3,824"
"🕋","3,819"
"🍔","3,817"
"🗡️","3,810"
"🥴","3,806"
"🇯🇵","3,795"
"🤴","3,790"
"👤","3,789"
"🇸🇦","3,789"
"🇨🇳","3,778"
"⏱️","3,778"
"🥻","3,768"
"👗","3,767"
"🕸️","3,759"
"🐻","3,759"
"ℹ️","3,754"
"🇮🇱","3,752"
"🍾","3,743"
"🏖️","3,740"
"📺","3,716"
"🎲","3,716"
"🦍","3,712"
"🍅","3,681"
"🎸","3,679"
"📋","3,677"
"🌑","3,654"
"👋🏻","3,641"
"🐧","3,635"
"🕷️","3,632"
"🔁","3,627"
"🖊️","3,614"
"👓","3,613"
"🛵","3,612"
"🐰","3,611"
"🐯","3,601"
"🥸","3,598"
"👩","3,596"
"🤕","3,571"
"🛜","3,570"
"👹","3,562"
"💑","3,552"
"🐦‍⬛","3,552"
"🧁","3,550"
"🤒","3,547"
"🐘","3,537"
"🐔","3,530"
"🦖","3,524"
"🤰","3,502"
"🌳","3,495"
"🏡","3,492"
"♟️","3,481"
"👥","3,468"
"😯","3,456"
"👕","3,436"
"🖕🏻","3,433"
"📰","3,425"
"🐝","3,397"
"📣","3,373"
"🙇‍♂️","3,351"
"📆","3,340"
"🐕","3,331"
"🐣","3,310"
"😼","3,301"
"🧞","3,299"
"😹","3,292"
"☄️","3,276"
"🐷","3,273"
"🥊","3,265"
"🇪🇸","3,264"
"👟","3,253"
"🇸","3,238"
"🧑‍💻","3,226"
"🙏🏼","3,196"
"🪶","3,182"
"✝️","3,141"
"🧳","3,136"
"😵","3,122"
"🪂","3,115"
"😖","3,092"
"🥤","3,083"
"🏳️","3,082"
"🌅","3,082"
"🍲","3,070"
"3️⃣","3,068"
"🍒","3,057"
"♀️","3,048"
"🔰","3,043"
"🫶🏾","3,034"
"🧚‍♀️","3,026"
"😣","3,025"
"👩‍❤️‍👨","3,000"
"☂️","2,995"
"✋","2,975"
"👉🏻","2,970"
"🇮🇹","2,965"
"🌌","2,963"
"💮","2,958"
"🧹","2,956"
"🤷","2,952"
"🌮","2,950"
"🌠","2,939"
"🇵🇹","2,938"
"🧱","2,935"
"📹","2,930"
"🛞","2,923"
"🙇‍♀️","2,922"
"🍺","2,918"
"🍓","2,917"
"🐺","2,915"
"🔓","2,911"
"📩","2,889"
"🇸🇬","2,880"
"🎞️","2,878"
"⛓️‍💥","2,875"
"🐟","2,868"
"🦜","2,865"
"👺","2,856"
"🪼","2,851"
"🏷️","2,850"
"🏥","2,841"
"⚪","2,837"
"👦","2,826"
"🚌","2,816"
"🏸","2,808"
"🏔️","2,803"
"🦄","2,789"
"🐄","2,776"
"🤦‍♂️","2,754"
"🍪","2,750"
"🍉","2,723"
"🇳","2,722"
"🐢","2,717"
"🚆","2,710"
"💅🏻","2,708"
"👍🏿","2,708"
"🥃","2,699"
"🛑","2,699"
"👨","2,673"
"🧪","2,664"
"©️","2,654"
"👨‍🍳","2,648"
"⬅️","2,641"
"🍜","2,633"
"🧑‍🎓","2,630"
"💟","2,613"
"☃️","2,613"
"✖️","2,601"
"🇰🇷","2,596"
"🏦","2,575"
"⁉️","2,570"
"🛣️","2,560"
"👨‍⚕️","2,556"
"🟠","2,550"
"🪡","2,545"
"♂️","2,540"
"🏁","2,535"
"🚧","2,523"
"🇲🇾","2,500"
"🫶🏿","2,499"
"🇷","2,496"
"🔸","2,492"
"🏋️","2,481"
"🍄","2,479"
"♻️","2,476"
"👄","2,474"
"🏰","2,470"
"🤟","2,468"
"🤠","2,462"
"🦌","2,461"
"🙋","2,460"
"▪️","2,451"
"🍗","2,447"
"🍏","2,446"
"🇧🇷","2,442"
"🔜","2,441"
"📕","2,436"
"🪓","2,427"
"👮","2,426"
"🌀","2,418"
"🧘‍♀️","2,416"
"🧃","2,410"
"📽️","2,408"
"🇦","2,406"
"🍯","2,404"
"🏅","2,402"
"🐆","2,401"
"✍🏻","2,397"
"✊","2,384"
"🤳","2,383"
"🥛","2,368"
"👇🏻","2,366"
"🍦","2,364"
"🧑‍🏫","2,360"
"🦉","2,354"
"📎","2,352"
"🍬","2,351"
"⭕","2,348"
"💢","2,346"
"🐛","2,335"
"🥥","2,329"
"💏","2,329"
"🐅","2,328"
"🧢","2,325"
"🖌️","2,315"
"🎟️","2,315"
"🦟","2,308"
"🤷‍♀️","2,300"
"💃🏻","2,300"
"🌃","2,294"
"🥈","2,293"
"🎖️","2,291"
"💄","2,284"
"4️⃣","2,278"
"🐸","2,276"
"🃏","2,270"
"🧎","2,255"
"😽","2,254"
"🌲","2,250"
"⚓","2,247"
"🍼","2,244"
"🔺","2,239"
"🌇","2,235"
"🛢️","2,230"
"🇮🇷","2,228"
"🔨","2,220"
"🧑‍🍳","2,219"
"🔄","2,213"
"🫟","2,212"
"🥔","2,211"
"🔻","2,204"
"🚽","2,200"
"🤴🏻","2,196"
"🦎","2,186"
"🍛","2,173"
"🌓","2,159"
"🫚","2,157"
"👜","2,157"
"🚲","2,152"
"👩‍❤️‍💋‍👨","2,152"
"🫰🏼","2,151"
"🛫","2,151"
"🍨","2,150"
"🧩","2,145"
"👩‍⚕️","2,143"
"🐇","2,134"
"🤢","2,116"
"🪢","2,108"
"🅰️","2,105"
"⛈️","2,104"
"🚪","2,099"
"🇩","2,091"
"👧🏻","2,088"
"🪣","2,082"
"🌡️","2,081"
"🦵","2,072"
"🙇🏻","2,068"
"🍹","2,057"
"🎡","2,051"
"🙌🏻","2,041"
"🍊","2,038"
"🚶","2,037"
"⛽","2,036"
"😪","2,026"
"🌄","2,018"
"⛓️","2,008"
"🐿️","2,001"
"🇮","2,001"
"🟩","2,000"
"🥋","1,997"
"🤥","1,983"
"🏀","1,983"
"🗽","1,979"
"🗒️","1,977"
"🐃","1,975"
"🍟","1,975"
"🚜","1,974"
"🌬️","1,971"
"🇮🇩","1,967"
"☘️","1,965"
"🇪","1,952"
"👨‍👧","1,931"
"🐵","1,930"
"🩲","1,921"
"🕵️","1,921"
"🙋‍♂️","1,919"
"🧭","1,918"
"🪳","1,915"
"🔧","1,904"
"🕌","1,900"
"🍋","1,899"
"👨🏿","1,897"
"💠","1,895"
"🫴🏼","1,892"
"🤘","1,892"
"🦾","1,891"
"😧","1,890"
"🫁","1,889"
"🧣","1,884"
"👼","1,883"
"🇰","1,883"
"🦠","1,875"
"🇱🇰","1,873"
"🎋","1,872"
"™️","1,869"
"🪭","1,864"
"🌽","1,863"
"😺","1,855"
"🦆","1,854"
"🛸","1,853"
"🤷‍♂️","1,851"
"🏞️","1,850"
"⤵️","1,848"
"🥼","1,846"
"🍇","1,846"
"🎼","1,842"
"🇧🇩","1,839"
"🪴","1,836"
"🤞🏻","1,835"
"🎒","1,834"
"🥷🏿","1,831"
"🏨","1,829"
"🥘","1,825"
"🪪","1,824"
"😸","1,824"
"👩‍💻","1,822"
"☔","1,819"
"🕒","1,816"
"🤏🏻","1,810"
"🇳🇱","1,807"
"🧌","1,804"
"🦊","1,803"
"🥉","1,802"
"🪜","1,795"
"🏗️","1,789"
"🐬","1,786"
"🚢","1,784"
"📘","1,784"
"🏃‍♀️","1,781"
"5️⃣","1,777"
"🍴","1,775"
"🚘","1,772"
"🏛️","1,764"
"⏲️","1,763"
"😾","1,762"
"🐻‍❄️","1,762"
"🥗","1,760"
"🫵🏽","1,759"
"🍵","1,752"
"🐊","1,743"
"👔","1,739"
"🪑","1,735"
"❇️","1,726"
"🚭","1,722"
"🇪🇺","1,721"
"👶🏻","1,718"
"🎅🏻","1,717"
"🚰","1,715"
"🇬","1,709"
"👫","1,706"
"😿","1,698"
"🪥","1,693"
"🕹️","1,686"
"👂","1,682"
"☢️","1,680"
"🏵️","1,679"
"🐥","1,674"
"🧚","1,673"
"🥷🏼","1,668"
"🇱","1,667"
"🪵","1,664"
"🪰","1,656"
"🇭","1,654"
"📃","1,652"
"☯️","1,649"
"🧅","1,642"
"🙏🏽","1,640"
"🇻🇳","1,635"
"🥣","1,630"
"⛳","1,630"
"🏊","1,626"
"®️","1,623"
"⬜","1,621"
"🇹","1,617"
"🫅","1,616"
"🧜‍♀️","1,614"
"🤦🏻‍♀️","1,613"
"🐂","1,610"
"🦸🏻","1,607"
"😷","1,607"
"🧘‍♂️","1,602"
"🇺","1,600"
"🆚","1,592"
"👖","1,591"
"🇵🇭","1,584"
"🥬","1,570"
"♦️","1,570"
"🔖","1,567"
"👍🏼","1,567"
"⛅","1,566"
"🛌","1,565"
"👏🏻","1,563"
"🫸","1,560"
"🤙🏻","1,558"
"👨‍👩‍👧","1,553"
"☪️","1,552"
"🫛","1,549"
"🥜","1,540"
"💱","1,539"
"👩🏻","1,531"
"🇨🇭","1,528"
"🧾","1,524"
"🏝️","1,523"
"🎹","1,521"
"🆕","1,518"
"⬛","1,517"
"🇹🇷","1,515"
"🆓","1,514"
"👨‍👩‍👧‍👦","1,512"
"🧯","1,510"
"👁️‍🗨️","1,510"
"🟣","1,507"
"🙊","1,505"
"🏃‍♂️","1,503"
"🫓","1,494"
"🧕","1,491"
"🏴","1,489"
"🎾","1,482"
"🏳️‍⚧️","1,477"
"🖕🏿","1,472"
"🧑‍💼","1,470"
"🇦🇫","1,465"
"🕰️","1,463"
"👳","1,463"
"💁‍♀️","1,460"
"🫐","1,458"
"🍩","1,457"
"❔","1,457"
"🧷","1,456"
"👨‍🦲","1,455"
"🙇🏻‍♀️","1,454"
"🎰","1,449"
"👩‍🏫","1,432"
"🦂","1,428"
"🧍‍♀️","1,425"
"🫷","1,424"
"📒","1,418"
"🖋️","1,415"
"⏸️","1,414"
"👉🏼","1,412"
"👰","1,410"
"🚂","1,404"
"📥","1,404"
"🧍‍♂️","1,398"
"🕺🏻","1,398"
"🧼","1,393"
"🏭","1,391"
"🪾","1,387"
"👠","1,382"
"🧒","1,380"
"✌🏻","1,376"
"7️⃣","1,376"
"♨️","1,375"
"🧑‍🌾","1,372"
"🍸","1,369"
"🔬","1,368"
"🅱️","1,366"
"🧲","1,365"
"🏮","1,358"
"🧻","1,353"
"🎗️","1,353"
"🏐","1,352"
"🦸‍♂️","1,350"
"📻","1,350"
"🦱","1,349"
"🥦","1,348"
"🍍","1,347"
"🇨","1,347"
"👷","1,346"
