"code","value"
"🇮🇹","4,073"
"🔮","4,068"
"🍀","4,046"
"🇵🇸","4,035"
"🌲","4,020"
"🍪","4,019"
"🐉","4,013"
"👁️","3,996"
"😞","3,968"
"🔨","3,966"
"🇫🇷","3,903"
"🛡️","3,893"
"🏝️","3,867"
"🥊","3,849"
"🐐","3,849"
"⛰️","3,839"
"👎","3,825"
"😐","3,813"
"🛑","3,809"
"🛏️","3,807"
"💼","3,802"
"2️⃣","3,802"
"🤬","3,763"
"♻️","3,759"
"🎭","3,756"
"🇨🇳","3,750"
"😤","3,734"
"🧪","3,731"
"🫶🏼","3,723"
"🏳️‍⚧️","3,696"
"⏳","3,695"
"🍴","3,674"
"🐍","3,621"
"🍰","3,613"
"🟥","3,608"
"🥁","3,588"
"🏁","3,568"
"🥚","3,566"
"😒","3,566"
"⏱️","3,564"
"🇳🇿","3,555"
"🐎","3,544"
"🤌","3,542"
"🦇","3,537"
"⚖️","3,530"
"🧊","3,524"
"👊","3,509"
"🥱","3,506"
"⚫","3,495"
"👹","3,484"
"🌧️","3,469"
"🍂","3,459"
"🍌","3,448"
"🇮🇳","3,419"
"🔪","3,409"
"🍒","3,403"
"🥩","3,368"
"🐒","3,321"
"🐦","3,318"
"🪽","3,308"
"📹","3,295"
"👈","3,282"
"👟","3,264"
"🕯️","3,253"
"😟","3,240"
"🏅","3,229"
"🚌","3,228"
"🎾","3,224"
"😼","3,220"
"🏫","3,202"
"🧀","3,196"
"3️⃣","3,187"
"🧐","3,161"
"🏏","3,143"
"🦁","3,135"
"🤙","3,135"
"🐇","3,132"
"🧁","3,130"
"🐻","3,128"
"🍝","3,120"
"🤘","3,105"
"🐸","3,095"
"🍉","3,090"
"🍋","3,075"
"✝️","3,072"
"📄","3,066"
"👾","3,062"
"🇵🇭","3,060"
"🌠","3,054"
"🔋","3,024"
"🍄","3,014"
"🍜","3,008"
"🏃‍♀️","3,000"
"🌑","2,988"
"🎲","2,980"
"▶️","2,979"
"🍳","2,977"
"🦄","2,963"
"🙋","2,940"
"☹️","2,935"
"🟣","2,933"
"🍦","2,931"
"🦖","2,929"
"🐚","2,915"
"😰","2,907"
"✂️","2,895"
"👕","2,881"
"🚢","2,871"
"🥴","2,848"
"🦌","2,838"
"🔹","2,835"
"😕","2,829"
"🥷","2,802"
"🪨","2,798"
"🩰","2,791"
"🥐","2,782"
"🤷‍♀️","2,782"
"🇩🇪","2,778"
"🐔","2,772"
"🪷","2,771"
"🫰","2,757"
"🐣","2,755"
"⚪","2,754"
"😥","2,737"
"🍗","2,726"
"🤢","2,720"
"🌅","2,718"
"🦈","2,716"
"♾️","2,714"
"👷","2,710"
"🐢","2,698"
"🗡️","2,681"
"🗑️","2,674"
"🖌️","2,673"
"🌀","2,672"
"🔧","2,671"
"💘","2,671"
"🇰🇷","2,662"
"📆","2,660"
"🍵","2,641"
"🍩","2,634"
"🦷","2,630"
"🐛","2,615"
"🪦","2,613"
"🍬","2,606"
"🍊","2,606"
"💊","2,602"
"🥤","2,599"
"💣","2,597"
"🎣","2,591"
"🍇","2,580"
"😫","2,568"
"⁉️","2,565"
"🩺","2,549"
"✋","2,549"
"🦆","2,542"
"🏈","2,541"
"🕷️","2,532"
"📕","2,529"
"🥪","2,528"
"🧘","2,524"
"🪙","2,517"
"™️","2,517"
"🥕","2,510"
"🫀","2,495"
"🏇","2,486"
"🥈","2,485"
"🏴‍☠️","2,480"
"🌌","2,480"
"🍞","2,470"
"🫨","2,463"
"🧹","2,448"
"♿","2,440"
"🖊️","2,431"
"😻","2,430"
"💳","2,418"
"🟩","2,416"
"🫃","2,408"
"😓","2,405"
"🎞️","2,403"
"☃️","2,402"
"🏗️","2,388"
"🍲","2,372"
"🪴","2,370"
"👣","2,369"
"⛳","2,368"
"🥗","2,350"
"🚲","2,335"
"🐈‍⬛","2,305"
"🍟","2,302"
"🛫","2,301"
"🌕","2,298"
"❔","2,283"
"🏋️","2,266"
"🧿","2,265"
"👗","2,264"
"👥","2,263"
"📘","2,247"
"🧩","2,243"
"😖","2,233"
"🇨🇦","2,233"
"🔓","2,223"
"🐬","2,223"
"🗒️","2,222"
"⌚","2,222"
"🔬","2,217"
"➕","2,216"
"🦊","2,208"
"😵","2,204"
"🚶","2,196"
"🏛️","2,196"
"🏥","2,191"
"🗳️","2,187"
"🇮🇱","2,183"
"🦴","2,179"
"📽️","2,175"
"🧋","2,173"
"🍭","2,171"
"🧱","2,166"
"🕵️","2,160"
"♥️","2,154"
"⬅️","2,153"
"🇬🇷","2,152"
"⛔","2,151"
"💄","2,138"
"🫢","2,136"
"🐄","2,136"
"🫶🏽","2,125"
"🚽","2,123"
"🇪🇸","2,122"
"⛵","2,118"
"💓","2,116"
"📁","2,109"
"💉","2,107"
"🎒","2,107"
"😹","2,103"
"🧼","2,099"
"🏕️","2,091"
"🪐","2,087"
"🐊","2,084"
"✊","2,084"
"👨‍🍳","2,074"
"💿","2,071"
"🐠","2,053"
"🥛","2,047"
"🫐","2,045"
"😑","2,034"
"⚓","2,033"
"🔞","2,030"
"🪼","2,026"
"🙏🏻","2,018"
"🥉","2,012"
"👂","2,010"
"🇻🇳","2,010"
"🟦","2,009"
"📻","2,003"
"👇🏼","2,002"
"🟨","2,000"
"🐑","1,999"
"🌭","1,998"
"👪","1,991"
"🍯","1,987"
"🐷","1,986"
"👮","1,982"
"🚬","1,980"
"🍏","1,980"
"🧵","1,979"
"🌮","1,979"
"4️⃣","1,978"
"🥥","1,975"
"🐀","1,972"
"🕸️","1,965"
"🍁","1,958"
"🤷‍♂️","1,957"
"🐧","1,957"
"🚪","1,950"
"🚆","1,947"
"📉","1,943"
"🏊","1,943"
"📩","1,932"
"🤦‍♂️","1,929"
"🧳","1,925"
"🐋","1,921"
"🐙","1,917"
"🧺","1,911"
"🍅","1,908"
"🙏🏼","1,898"
"🙂‍↔️","1,880"
"🧭","1,876"
"👨","1,875"
"🩶","1,873"
"🎹","1,873"
"🎇","1,872"
"🃏","1,871"
"🦢","1,867"
"🇧🇷","1,863"
"🚂","1,862"
"🦜","1,859"
"☘️","1,850"
"🥸","1,846"
"👉🏼","1,842"
"🪖","1,840"
"🌾","1,834"
"🥭","1,830"
"🍣","1,828"
"🦠","1,823"
"👆","1,807"
"🚙","1,805"
"🪞","1,804"
"🙁","1,801"
"🏞️","1,793"
"🍍","1,789"
"🏰","1,787"
"🥑","1,783"
"🐼","1,780"
"🛥️","1,769"
"🌍","1,769"
"👩","1,768"
"👍🏻","1,768"
"▪️","1,768"
"🕒","1,762"
"🤏","1,746"
"🎪","1,744"
"🎩","1,733"
"🌓","1,732"
"🦺","1,731"
"👄","1,726"
"🪻","1,725"
"💪🏼","1,718"
"🪵","1,700"
"🎅🏻","1,693"
"🇮🇩","1,689"
"🚘","1,688"
"🐮","1,685"
"⛏️","1,670"
"🥞","1,666"
"🕰️","1,664"
"🦉","1,660"
"♀️","1,659"
"🐴","1,654"
"🇹🇭","1,654"
"🎖️","1,645"
"🤐","1,637"
"🥾","1,634"
"🔐","1,618"
"🪸","1,617"
"⛈️","1,617"
"🥧","1,616"
"🦐","1,613"
"🏙️","1,597"
"⬜","1,597"
"🧟","1,593"
"🧢","1,592"
"🔸","1,590"
"🐦‍⬛","1,590"
"🪑","1,588"
"🔄","1,587"
"🏷️","1,586"
"✖️","1,584"
"🔛","1,583"
"🛬","1,582"
"🏄","1,582"
"🌃","1,576"
"🔌","1,569"
"🙊","1,567"
"⛓️","1,563"
"🛋️","1,553"
"🍼","1,551"
"🦀","1,548"
"👧","1,548"
"🕹️","1,547"
"🤸","1,539"
"🇸🇬","1,537"
"😣","1,534"
"🏨","1,533"
"🐘","1,532"
"🥃","1,531"
"👤","1,529"
"👿","1,524"
"🧍","1,523"
"🚴","1,523"
"🏍️","1,523"
"🍨","1,520"
"🥔","1,519"
"🚿","1,515"
"🧘‍♀️","1,510"
"🙋‍♀️","1,502"
"🐯","1,495"
"🆕","1,493"
"🥬","1,490"
"⛩️","1,490"
"👩‍⚕️","1,486"
"🌬️","1,480"
"⬛","1,480"
"🤳","1,479"
"🏃‍♂️","1,479"
"🍖","1,475"
"🇹🇼","1,470"
"🏴󠁧󠁢󠁥󠁮󠁧󠁿","1,468"
"🪶","1,465"
"🚑","1,465"
"☢️","1,464"
"🛜","1,462"
"🥦","1,460"
"🥖","1,456"
"〰️","1,454"
"⏲️","1,454"
"👙","1,453"
"🦸","1,443"
"📃","1,442"
"🦎","1,437"
"🇷🇺","1,437"
"🔁","1,435"
"🖱️","1,429"
"🥘","1,426"
"5️⃣","1,423"
"🤒","1,422"
"🗞️","1,420"
"👓","1,420"
"🏹","1,420"
"🏐","1,418"
"🏴󠁧󠁢󠁳󠁣󠁴󠁿","1,417"
"🤿","1,415"
"⚜️","1,410"
"💁‍♀️","1,409"
"😺","1,408"
"🍛","1,407"
"⤵️","1,406"
"📓","1,405"
"🫖","1,402"
"🤕","1,401"
"🏌️","1,384"
"📨","1,382"
"❣️","1,382"
"🧑‍💻","1,381"
"⭕","1,381"
"📮","1,373"
"🌵","1,373"
"😿","1,372"
"🦍","1,370"
"😶‍🌫️","1,370"
"👋🏼","1,363"
"🎗️","1,362"
"🏘️","1,361"
"🇲🇽","1,359"
"♠️","1,359"
"📗","1,358"
"⚰️","1,358"
"🔝","1,357"
"🌡️","1,357"
"📏","1,353"
"🎰","1,350"
"🛣️","1,343"
"🏦","1,341"
"🙅","1,340"
"🟧","1,337"
"🛸","1,335"
"🛝","1,335"
"💃🏻","1,335"
"⚕️","1,335"
"☂️","1,332"
"🧙","1,330"
"🇮🇪","1,326"
"🧑‍🤝‍🧑","1,324"
"🦭","1,322"
"🐞","1,315"
"👠","1,310"
"👴","1,302"
"🧨","1,300"
"🕶️","1,298"
"👩‍💻","1,296"
"🧧","1,295"
"🐦‍🔥","1,294"
"🥟","1,293"
"👨🏿","1,293"
"🚜","1,291"
"🌪️","1,284"
"🤰","1,281"
"🎻","1,278"
"👜","1,277"
"👔","1,277"
"🧶","1,276"
"🙏🏽","1,276"
"🧚","1,274"
"😶","1,270"
"🛁","1,269"
"😯","1,266"
"🐌","1,266"
"☄️","1,261"
"🪱","1,258"
"🧛","1,258"
"😚","1,258"
"💪🏻","1,256"
"🧃","1,253"
"🚦","1,253"
"🗨️","1,250"
"🥝","1,244"
"🪪","1,234"
"🦩","1,233"
"👺","1,229"
"⛄","1,227"
"🚰","1,221"
"⚒️","1,217"
"🪫","1,216"
"🛎️","1,215"
"⛪","1,215"
"🟪","1,214"
"👇🏻","1,214"
"🌚","1,210"
"😸","1,209"
"🧰","1,207"
"🥣","1,206"
"👏🏻","1,206"
"👋🏻","1,205"
"🌇","1,205"
"🎼","1,202"
