"code","value"
"🍆","164,394"
"🌔","164,080"
"🐈‍⬛","163,284"
"🌼","162,728"
"🍓","162,238"
"⏳","161,837"
"🏃","161,399"
"👁️","161,140"
"😮","159,531"
"🍿","159,451"
"🤦","158,365"
"🤎","158,182"
"🧐","158,132"
"🦇","157,134"
"🏎️","156,866"
"🐦","156,560"
"🐝","156,269"
"🫶🏽","155,898"
"🤮","155,848"
"🏳️‍⚧️","155,330"
"💼","155,314"
"🟠","155,229"
"🌘","155,203"
"💲","154,871"
"🐰","154,806"
"✉️","153,983"
"🔮","153,787"
"⚖️","153,228"
"🥱","152,601"
"⌛","151,476"
"⛰️","151,448"
"🔪","151,400"
"🔞","151,183"
"🎊","150,871"
"💨","150,249"
"🦃","150,128"
"🚧","150,085"
"🌲","148,161"
"3️⃣","146,965"
"💝","146,913"
"🍫","146,089"
"🍪","145,853"
"🌺","144,126"
"💣","142,639"
"🐺","142,530"
"🕯️","142,522"
"🌶️","141,901"
"😤","141,160"
"🙂‍↔️","140,927"
"👈","138,699"
"🎲","138,674"
"👎","138,298"
"😐","137,965"
"🐕","137,420"
"🐉","137,414"
"🇵🇭","137,215"
"🇨🇳","136,002"
"👶","135,965"
"🤷","135,852"
"🍺","134,878"
"🏈","134,202"
"🛑","133,762"
"🇵🇹","133,251"
"🇦🇺","132,778"
"🙏🏻","132,664"
"♥️","132,549"
"🟥","132,513"
"🩶","132,374"
"🍹","132,189"
"👾","131,660"
"🪫","131,108"
"🤬","130,863"
"🪙","130,454"
"💳","130,072"
"💘","129,685"
"🦁","128,382"
"🧊","128,352"
"👹","125,741"
"🍒","125,277"
"🏫","124,611"
"🌖","123,400"
"🐻","123,071"
"🇵🇱","123,044"
"⚫","121,876"
"🇳🇱","121,475"
"🔹","121,388"
"🕺","120,974"
"🥚","120,697"
"🇦🇷","120,693"
"🐍","120,610"
"🏢","120,305"
"☃️","119,943"
"🔨","119,509"
"☹️","118,586"
"🔋","117,786"
"🇰🇷","116,827"
"✂️","116,769"
"🍾","116,026"
"🧪","115,882"
"📹","115,657"
"🎰","115,466"
"🍌","115,243"
"📄","114,683"
"🏁","114,576"
"😥","114,028"
"🪔","113,776"
"🪖","112,850"
"🇹🇷","112,824"
"🇷🇺","112,666"
"🛏️","111,543"
"🇮🇱","111,080"
"♻️","111,000"
"🟣","110,467"
"⏱️","110,445"
