"code","value"
"🎸","5,746"
"🪖","5,735"
"🗳️","5,698"
"😡","5,690"
"🍪","5,681"
"😲","5,647"
"🌙","5,615"
"🔹","5,601"
"🧭","5,575"
"🐉","5,574"
"🤠","5,541"
"💳","5,538"
"💨","5,527"
"🫶🏽","5,516"
"🥶","5,514"
"🏁","5,510"
"🏛️","5,457"
"🇷🇺","5,454"
"💲","5,446"
"🐺","5,446"
"🚫","5,431"
"🐐","5,360"
"😴","5,357"
"🏰","5,351"
"🪙","5,311"
"🧪","5,307"
"🏅","5,289"
"👎","5,253"
"🤷","5,226"
"🥉","5,192"
"🚩","5,182"
"🎆","5,172"
"🏫","5,100"
"🏝️","5,098"
"🟥","5,097"
"🫰","5,086"
"🍋","5,084"
"♾️","5,075"
"💞","5,069"
"🟣","5,047"
"🍸","5,046"
"🔋","5,036"
"🦋","5,031"
"👈","5,022"
"🛑","5,006"
"🍇","4,981"
"🌷","4,971"
"🐕","4,965"
"🇮🇱","4,947"
"🌺","4,940"
"🌶️","4,858"
"🥖","4,829"
"🗞️","4,816"
"🎞️","4,815"
"🔸","4,813"
"🪽","4,808"
"🦁","4,755"
"👽","4,751"
"🚆","4,745"
"😠","4,745"
"🔨","4,744"
"📻","4,731"
"🔄","4,722"
"📹","4,697"
"🍴","4,693"
"4️⃣","4,693"
"💊","4,686"
"🧩","4,680"
"‼️","4,678"
"🎒","4,675"
"🤘","4,673"
"🚌","4,670"
"🫀","4,658"
"🦇","4,647"
"🎈","4,635"
"😞","4,628"
"⬆️","4,627"
"🤮","4,622"
"🌼","4,607"
"🧊","4,599"
"🇷🇪","4,594"
"🖊️","4,592"
"☝️","4,590"
"🍁","4,588"
"🕯️","4,585"
"🪶","4,577"
"🛏️","4,516"
"🐾","4,515"
"🐒","4,515"
"💘","4,508"
"🇰🇷","4,498"
"📕","4,489"
"🙏🏻","4,485"
"🧳","4,476"
"🎾","4,473"
"🇵🇱","4,467"
"🇹🇷","4,448"
"🥸","4,443"
"🍓","4,436"
"⌚","4,385"
"🐈‍⬛","4,374"
"😕","4,361"
"👾","4,354"
"🙂‍↕️","4,350"
"👅","4,347"
"⚫","4,345"
"🕵️","4,343"
"🃏","4,319"
"🚬","4,307"
"🖌️","4,290"
"❔","4,279"
"🇲🇽","4,276"
"😝","4,273"
"🕐","4,258"
"👟","4,248"
"🍺","4,242"
"👮","4,223"
"🍎","4,223"
"📽️","4,218"
"🐱","4,204"
"😮","4,163"
"🦅","4,162"
"🏳️‍⚧️","4,157"
"🦧","4,153"
"🏴󠁧󠁢󠁥󠁮󠁧󠁿","4,147"
"🦄","4,114"
"🏀","4,114"
"🏗️","4,113"
"🪷","4,078"
"😨","4,059"
"💐","4,032"
"🥁","4,022"
"🔪","4,022"
"🍰","4,010"
"💝","4,007"
"🏭","3,999"
"⚪","3,985"
"🩺","3,983"
"🐍","3,960"
"♀️","3,959"
"😵‍💫","3,954"
"🧘","3,931"
"🚪","3,902"
"📏","3,893"
"🌲","3,887"
"👩","3,882"
"💉","3,871"
"🍌","3,868"
"🟩","3,848"
"🤎","3,837"
"🦊","3,825"
"🥗","3,791"
"🇺🇦","3,782"
"🎊","3,777"
"✊","3,771"
"🧬","3,767"
"👷","3,733"
"🌌","3,726"
"🌡️","3,716"
"🍒","3,714"
"🏹","3,695"
"🍄","3,681"
"👕","3,678"
"🍉","3,677"
"👹","3,669"
"😒","3,663"
"📉","3,641"
"⛵","3,624"
"🐻","3,620"
"😐","3,618"
"🧹","3,592"
"5️⃣","3,572"
"🌠","3,565"
"🛫","3,557"
"🖋️","3,527"
"👨‍🍳","3,523"
"🥕","3,517"
"🕹️","3,512"
"🔜","3,482"
"🪐","3,474"
"🗑️","3,471"
"🥚","3,460"
"🪪","3,457"
"🏉","3,453"
"✂️","3,444"
"🏥","3,437"
"🐰","3,434"
"🔁","3,421"
"🧱","3,417"
"🇬🇷","3,410"
"🇦🇺","3,402"
"🧰","3,398"
"📃","3,397"
"🙏🏼","3,373"
"☢️","3,363"
"🍟","3,358"
"🇸🇪","3,357"
"📨","3,349"
"🔬","3,313"
"🗡️","3,310"
"🟦","3,297"
"🦖","3,288"
"🐦","3,273"
"🍝","3,259"
"🍬","3,249"
"🇮🇳","3,236"
"🐸","3,232"
"🇹🇳","3,214"
"🛜","3,184"
"💾","3,176"
"📑","3,169"
"😓","3,151"
"🥩","3,143"
"😩","3,143"
"⭕","3,133"
"🍵","3,110"
"🐀","3,093"
"😤","3,090"
"👓","3,076"
"🚴","3,069"
"🌒","3,066"
"🫩","3,036"
"⚓","3,035"
"🍯","3,034"
"🐦‍🔥","3,033"
"😥","3,026"
"✒️","3,016"
"🏦","3,004"
"🌧️","2,998"
"⁉️","2,997"
"🐣","2,991"
"🕷️","2,989"
"🐇","2,971"
"🍊","2,959"
"☃️","2,950"
"▪️","2,948"
"🏍️","2,938"
"📘","2,934"
"🟨","2,933"
"🗒️","2,926"
"👪","2,917"
"💓","2,914"
"👨‍💻","2,908"
"👉🏻","2,908"
"🏷️","2,904"
"🍅","2,895"
"😰","2,892"
"💄","2,891"
"🌾","2,886"
"🇲🇶","2,886"
"🆘","2,884"
"💿","2,837"
"📎","2,817"
"♂️","2,817"
"🧟","2,809"
"🇮🇪","2,794"
"🛬","2,781"
"🐢","2,780"
"🐼","2,779"
"👂","2,776"
"🧵","2,769"
"⛷️","2,768"
"🥤","2,755"
"👄","2,750"
"🎰","2,739"
"⬅️","2,734"
"🦷","2,732"
"👗","2,731"
"🔌","2,725"
"🎹","2,717"
"🔝","2,708"
"👉🏼","2,707"
"⛩️","2,703"
"🫶🏾","2,693"
"🌅","2,691"
"🫢","2,688"
"🗂️","2,679"
"☹️","2,673"
"🇩🇰","2,668"
"👣","2,667"
"🗽","2,661"
"🔐","2,654"
"🐄","2,646"
"🍲","2,646"
"🐔","2,645"
"🚘","2,636"
"🪞","2,635"
"🪵","2,633"
"🐙","2,632"
"📗","2,624"
"🌀","2,624"
"🧼","2,623"
"📒","2,620"
"⏲️","2,620"
"🤬","2,613"
"👔","2,599"
"🇦🇪","2,590"
"😛","2,586"
"🟧","2,581"
"🐎","2,568"
"🏃‍♀️","2,566"
"🦴","2,542"
"🪴","2,535"
"⛏️","2,532"
"🥾","2,528"
"🩶","2,520"
"🔓","2,518"
"🎖️","2,515"
"😻","2,510"
"🪨","2,502"
"🏋️","2,494"
"🧒","2,490"
"🧾","2,486"
"🏔️","2,484"
"🗃️","2,479"
"📓","2,475"
"📥","2,467"
"🇹🇭","2,462"
"🥞","2,443"
"🦠","2,441"
"🏙️","2,439"
"🦸","2,438"
"🙋","2,435"
"✋","2,435"
"🇨🇴","2,429"
"😶‍🌫️","2,425"
"🇳🇴","2,423"
"🍣","2,422"
"🦆","2,418"
"☄️","2,418"
"🧑‍💻","2,409"
"🚜","2,408"
"👩‍💻","2,408"
"⛱️","2,399"
"🎼","2,396"
"🍗","2,396"
"🚂","2,391"
"🪦","2,389"
"🦺","2,385"
"🥘","2,383"
"🚿","2,382"
"🌕","2,375"
"😵","2,371"
"🦌","2,364"
"📂","2,357"
"🦾","2,350"
"🔭","2,349"
"🥱","2,345"
"😟","2,330"
"🏴","2,327"
"🫨","2,320"
"🧁","2,316"
"🤙","2,312"
"🪼","2,306"
"🧌","2,305"
"🥪","2,303"
"🐑","2,303"
"👨","2,302"
"🥛","2,297"
"🥴","2,292"
"🗝️","2,292"
"🌋","2,285"
"🇦🇷","2,284"
"🦈","2,278"
"🍼","2,264"
"🛋️","2,254"
"👸","2,245"
"👜","2,234"
"🇻🇳","2,221"
"🍩","2,220"
"🌑","2,213"
"🥋","2,210"
"🇦🇹","2,201"
"🧘‍♀️","2,198"
"⚕️","2,196"
"🧿","2,195"
"🐛","2,192"
