"code","value"
"🌙","4,701"
"👶","4,659"
"📲","4,646"
"🐟","4,646"
"🎭","4,641"
"⏱️","4,622"
"🌷","4,615"
"🤘","4,601"
"🎲","4,592"
"🌲","4,565"
"💼","4,553"
"💣","4,544"
"🪙","4,542"
"🛑","4,530"
"👍🏻","4,521"
"🆕","4,474"
"🔨","4,463"
"🪽","4,398"
"👥","4,395"
"✂️","4,392"
"🍫","4,390"
"🥷","4,380"
"❔","4,378"
"➕","4,368"
"🎸","4,354"
"🫧","4,316"
"🍃","4,304"
"🎟️","4,275"
"🐱","4,222"
"🔧","4,219"
"🦊","4,190"
"🗑️","4,130"
"🎊","4,129"
"🦇","4,080"
"🌶️","4,066"
"🧪","4,064"
"🐐","4,046"
"🇵🇹","4,038"
"🦄","4,036"
"🏢","4,034"
"⁉️","4,034"
"🌼","4,030"
"🚩","4,017"
"😩","4,005"
"😐","4,003"
"🐺","4,000"
"🤦","3,994"
"🤠","3,993"
"🍰","3,989"
"💝","3,984"
"🔹","3,969"
"👁️","3,966"
"🧿","3,954"
"🧊","3,942"
"🇸🇪","3,923"
"🍁","3,918"
"🇨🇳","3,918"
"🫀","3,890"
"🤌","3,879"
"💵","3,877"
"🍒","3,853"
"🎞️","3,834"
"🥴","3,796"
"👽","3,780"
"📹","3,770"
"👅","3,768"
"🐇","3,767"
"⚓","3,755"
"😝","3,749"
"🎰","3,748"
"🏗️","3,745"
"🐻","3,744"
"📆","3,717"
"😨","3,709"
"🏳️‍⚧️","3,702"
"🕺","3,688"
"🇬🇷","3,670"
"🇧🇷","3,669"
"🐉","3,620"
"🍌","3,616"
"🍎","3,595"
"♻️","3,593"
"👾","3,582"
"⚫","3,572"
"⛔","3,570"
"🏰","3,557"
"🧭","3,555"
"🇮🇱","3,549"
"🇩🇰","3,549"
"🔪","3,544"
"🔞","3,517"
"📁","3,517"
"😠","3,498"
"🐣","3,498"
"❣️","3,494"
"🥦","3,467"
"📉","3,458"
"⚪","3,456"
"🧩","3,455"
"🔄","3,449"
"🪖","3,437"
"👤","3,437"
"🤬","3,411"
"😞","3,408"
"🥱","3,387"
"🟩","3,378"
"🍓","3,377"
"🍝","3,374"
"4️⃣","3,361"
"🥐","3,359"
"💓","3,342"
"🤷‍♂️","3,338"
"🏴󠁧󠁢󠁥󠁮󠁧󠁿","3,322"
"🧳","3,317"
"🌒","3,314"
"💲","3,309"
"🥗","3,288"
"🍋","3,285"
"🙁","3,284"
"🛏️","3,273"
"😒","3,271"
"🏴‍☠️","3,265"
"🏅","3,261"
"👕","3,249"
"👉🏻","3,230"
"🚌","3,224"
"🐎","3,205"
"🪦","3,204"
"☃️","3,202"
"💪🏻","3,201"
"🔜","3,193"
"🦌","3,182"
"😤","3,161"
"🗳️","3,134"
"🦖","3,126"
"🧘","3,124"
"🦷","3,121"
"🥊","3,119"
"🏀","3,118"
"🍭","3,118"
"♀️","3,113"
"🌌","3,107"
"🌺","3,102"
"🐈‍⬛","3,099"
"🍲","3,098"
"💘","3,085"
"🟣","3,080"
"😛","3,077"
"🫰","3,073"
"♾️","3,068"
"🥁","3,043"
"📩","3,040"
"📕","3,040"
"🕵️","3,039"
"🚪","3,032"
"🌧️","3,029"
"🇨🇦","3,017"
"🗡️","3,016"
"😕","3,006"
"🌠","2,976"
"💪🏼","2,970"
"🙏🏻","2,968"
"⬅️","2,964"
"🫨","2,959"
"🇮🇳","2,950"
"🔝","2,947"
"☹️","2,945"
"😟","2,941"
"🧹","2,920"
"🍵","2,909"
"🍸","2,899"
"🐸","2,896"
"🧀","2,889"
"🚢","2,885"
"💊","2,882"
"🐦","2,878"
"📃","2,874"
"🤎","2,871"
"🚆","2,865"
"🏫","2,865"
"🇨🇿","2,862"
"🪷","2,840"
"🖌️","2,829"
"👟","2,828"
"💳","2,820"
"🥩","2,817"
"🏛️","2,803"
"🐍","2,794"
"🗨️","2,789"
"📽️","2,773"
"👣","2,759"
"🍉","2,751"
"🇭🇷","2,748"
"☢️","2,748"
"🇧🇪","2,746"
"🧱","2,745"
"👉🏼","2,739"
"😥","2,736"
"🐒","2,733"
"🌡️","2,725"
"🦆","2,713"
"👨‍💻","2,711"
"🪵","2,697"
"💉","2,686"
"🍄","2,678"
"🎒","2,676"
"🤙","2,669"
"😻","2,667"
"🔬","2,659"
"😵","2,646"
"🍴","2,642"
"💾","2,639"
"🍬","2,639"
"👮","2,638"
"🪐","2,616"
"🩶","2,601"
"🦾","2,590"
"🔁","2,590"
"🛋️","2,579"
"🏥","2,563"
"🔌","2,561"
"🇰🇷","2,558"
"🇷🇴","2,555"
"🥕","2,551"
"⚕️","2,548"
"🧑‍💻","2,545"
"🧢","2,538"
"🍇","2,535"
"🐭","2,520"
"5️⃣","2,518"
"🙏🏼","2,505"
"👹","2,498"
"🟨","2,484"
"🔐","2,480"
"🧟","2,467"
"🤝🏻","2,464"
"🩺","2,462"
"🇭🇺","2,446"
"🌚","2,445"
"🇲🇽","2,444"
"🥤","2,442"
"🤷‍♀️","2,429"
"🧬","2,423"
"🆘","2,416"
"▪️","2,413"
"🐧","2,411"
"🕹️","2,409"
"🎾","2,403"
"👷","2,396"
"🥾","2,393"
"🗒️","2,391"
"👍🏼","2,387"
"🫢","2,386"
"🏭","2,384"
"🛫","2,372"
"👪","2,366"
"🥸","2,361"
"🪞","2,360"
"🪶","2,358"
"🥈","2,358"
"🎇","2,356"
"🇳🇴","2,354"
"🏍️","2,345"
"🟦","2,339"
"🐦‍🔥","2,337"
"📘","2,326"
"🪴","2,325"
"🖊️","2,322"
"⌚","2,320"
"🧵","2,318"
"🐢","2,315"
"😓","2,313"
"🫶🏽","2,295"
"🦉","2,295"
"👩","2,286"
"🤢","2,283"
"🇦🇱","2,278"
"♿","2,274"
"👩‍💻","2,272"
"🌕","2,272"
"🤒","2,266"
"🔸","2,266"
"✋","2,266"
"🃏","2,261"
"🤦‍♂️","2,257"
"🍦","2,257"
"⚜️","2,248"
"🍟","2,246"
"🕙","2,241"
"🏋️","2,241"
"🕷️","2,238"
"🕸️","2,227"
"👂","2,223"
"🧼","2,221"
"🍅","2,219"
"😰","2,217"
"🪨","2,215"
"🐔","2,215"
"🇦🇺","2,205"
"👓","2,200"
"🚒","2,193"
"🐛","2,193"
"🚜","2,190"
"🌅","2,188"
"🙂‍↔️","2,174"
"🍊","2,174"
"⛓️","2,174"
"⛵","2,171"
"👋🏻","2,158"
"🚑","2,146"
"🌀","2,144"
"✊","2,140"
"🚘","2,138"
"🌘","2,122"
"😫","2,120"
"🦴","2,119"
"🚂","2,119"
"🐘","2,119"
"🦈","2,101"
"🚴","2,087"
"🎹","2,087"
"🛜","2,081"
"👆","2,081"
"🌑","2,079"
"🇫🇮","2,071"
"🐄","2,068"
"😶‍🌫️","2,067"
"🧁","2,064"
"🍞","2,056"
"☘️","2,032"
"🍳","2,018"
"🛸","2,015"
"🌔","2,014"
"🥙","2,011"
"🍜","2,005"
"⛷️","2,005"
"🍨","2,000"
"👨‍🍳","1,996"
"🇦🇪","1,992"
"📬","1,980"
"😯","1,977"
"🐑","1,965"
"📻","1,962"
"🌪️","1,962"
"🐴","1,958"
"🏴󠁧󠁢󠁳󠁣󠁴󠁿","1,956"
"📨","1,955"
"🔓","1,945"
"🪪","1,937"
"🥉","1,933"
"🎣","1,933"
"😺","1,932"
"⤵️","1,932"
"🏞️","1,913"
"😖","1,909"
"🍯","1,899"
"🏦","1,895"
"⚒️","1,894"
"📑","1,893"
"🐌","1,890"
"👗","1,884"
"🚽","1,883"
"🙋","1,882"
"🤏","1,881"
"🧃","1,880"
"🏹","1,875"
"🏃‍♀️","1,869"
"✖️","1,864"
"🗽","1,861"
"🐼","1,861"
"🙊","1,858"
"🌬️","1,856"
"🌾","1,855"
"🧒","1,840"
"😑","1,837"
"🥖","1,831"
"⭕","1,823"
"🥛","1,821"
"🪫","1,811"
"🌓","1,808"
"🌏","1,805"
"👊","1,798"
"🎼","1,793"
"🍏","1,792"
"🦦","1,790"
"⛏️","1,786"
"🪑","1,785"
"🧘‍♀️","1,767"
"📥","1,762"
"💿","1,759"
"🙋‍♂️","1,758"
"🥔","1,755"
"🧦","1,754"
"🌃","1,748"
"🐞","1,740"
"😚","1,737"
"👨‍⚕️","1,729"
"📎","1,726"
"☄️","1,717"
"📗","1,712"
"🌖","1,709"
"🦠","1,700"
"🏷️","1,696"
"🐿️","1,695"
"🎅🏻","1,691"
"🧰","1,686"
"🍩","1,681"
"😼","1,676"
"🇷🇸","1,676"
"🐷","1,675"
"🪓","1,668"
"🇹🇭","1,667"
"🤧","1,666"
"🛬","1,664"
"🐬","1,663"
"🧮","1,661"
"🥘","1,660"
"👄","1,659"
"🏈","1,654"
"🏨","1,653"
"🌭","1,652"
"🥪","1,650"
"🏙️","1,644"
"✝️","1,641"
"♂️","1,637"
"🎖️","1,636"
"🥒","1,635"
"🎢","1,632"
"⏩","1,629"
"🧨","1,628"
"🐦‍⬛","1,628"
"📏","1,627"
"🗂️","1,625"
"🤐","1,624"
"🇮🇪","1,614"
"🤳","1,613"
"💄","1,605"
"👋🏼","1,600"
"📓","1,598"
"🌵","1,597"
"⬛","1,587"
"🏔️","1,585"
"🫐","1,582"
"🦸","1,581"
"🐙","1,581"
"👨","1,579"
"🗃️","1,576"
"🍼","1,575"
"⛪","1,573"
"🩹","1,570"
"🧾","1,561"
"🍄‍🟫","1,561"
"🇮🇷","1,555"
"🪟","1,552"
"🇸🇾","1,549"
"🗞️","1,548"
"😶","1,547"
"🗝️","1,547"
"♠️","1,542"
"📒","1,532"
"🦜","1,531"
"⚰️","1,531"
"™️","1,529"
"🚿","1,526"
"🥃","1,525"
"🍗","1,523"
"🟧","1,519"
"👴","1,517"
"🦀","1,515"
"🌇","1,515"
"👙","1,512"
"🫃","1,507"
"🇲🇦","1,507"
"🔭","1,503"
"❕","1,502"
"🅿️","1,500"
"🛞","1,491"
"🦶","1,490"
"🎩","1,487"
"➖","1,487"
"☂️","1,484"
"😸","1,482"
"🧛","1,481"
"🏕️","1,480"
"⏸️","1,480"
"⏲️","1,479"
"⛓️‍💥","1,474"
"🌗","1,470"
"🙋‍♀️","1,468"
"⌨️","1,468"
"🖋️","1,463"
"🕶️","1,463"
"☔","1,461"
"👔","1,460"
"🦝","1,455"
"🐋","1,453"
"🌋","1,450"
"👧","1,449"
"🫖","1,448"
"🍣","1,448"
"⛱️","1,445"
"6️⃣","1,439"
"🚓","1,431"
"🤦‍♀️","1,430"
"🕒","1,430"
"🟪","1,427"
"🥥","1,422"
"🤕","1,422"
"🧙","1,421"
"🖱️","1,420"
"📯","1,417"
"🧑‍🤝‍🧑","1,409"
"⛄","1,400"
"👇🏼","1,399"
"🦺","1,396"
"🧺","1,395"
"👩‍⚕️","1,393"
"🏟️","1,392"
"🛣️","1,390"
"🔷","1,387"
"🐊","1,385"
"⛩️","1,381"
"👇🏻","1,379"
"🚦","1,378"
"🕰️","1,378"
"🥑","1,371"
"⛽","1,368"
"⛳","1,367"
"🍍","1,365"
"🚙","1,355"
"🇧🇬","1,355"
"🦙","1,349"
"🇪🇬","1,347"
"♟️","1,347"
"💢","1,345"
"🚁","1,343"
"🇦🇷","1,341"
"🔇","1,337"
"🎡","1,336"
"🦥","1,333"
"🐀","1,332"
"🪼","1,323"
"♨️","1,321"
"👸","1,318"
"🤰","1,316"
"🐯","1,313"
"↗️","1,312"
"📂","1,310"
"🫏","1,305"
"🍖","1,304"
"⬜","1,303"
"🛎️","1,296"
"🐲","1,294"
"🌮","1,294"
"🏓","1,292"
"©️","1,292"
"🧑‍🎓","1,285"
"🧶","1,283"
"🧽","1,282"
"🛰️","1,282"
"📡","1,282"
"🤸","1,281"
"🎪","1,279"
"🦩","1,278"
"🪿","1,275"
"🦍","1,270"
"😹","1,269"
"🥞","1,264"
"🖨️","1,262"
"🦔","1,253"
"🥬","1,251"
"🥣","1,248"
"😣","1,248"
"🦐","1,244"
"💪🏽","1,238"
"🏊","1,235"
"🐖","1,234"
"🌽","1,234"
"🧌","1,225"
"🔦","1,225"
"🐚","1,217"
"🪲","1,214"
"🧑","1,212"
"❎","1,212"
"🐮","1,209"
"🔉","1,206"
"😧","1,205"
"💒","1,202"
"👜","1,200"
"👫","1,197"
"🦘","1,196"
"👖","1,196"
"🦭","1,191"
"🤿","1,191"
"7️⃣","1,191"
"🔱","1,189"
"👿","1,183"
"🥭","1,181"
"🇵🇭","1,180"
"🐻‍❄️","1,175"
"🚶","1,172"
"🎻","1,171"
"🇻🇳","1,169"
"🚐","1,168"
"🩰","1,167"
"🔻","1,166"
"👩‍🏫","1,165"
"🧍","1,164"
"🔖","1,157"
"✍🏻","1,150"
"🧴","1,148"
"🏄","1,148"
"🎺","1,146"
"☯️","1,143"
"⛺","1,142"
"🐠","1,140"
"🧯","1,136"
"👦","1,136"
"🦎","1,131"
"😪","1,131"
"🛝","1,126"
"📐","1,126"
"🇨🇴","1,124"
"😿","1,121"
"🇧🇦","1,120"
"👺","1,119"
"🪻","1,117"
"🙀","1,116"
"🧑‍💼","1,115"
"🧙‍♂️","1,114"
"🧑‍🏫","1,111"
"🏐","1,111"
"0️⃣","1,111"
"🔺","1,110"
"🌰","1,108"
"👠","1,106"
"🕵️‍♂️","1,104"
"🐆","1,103"
"📙","1,100"
"🏘️","1,099"
"🥅","1,090"
"🙌🏼","1,090"
"🚅","1,088"
"🇿🇦","1,085"
"🧑‍🍳","1,082"
"🤲","1,082"
"🫵🏻","1,081"
"🦫","1,080"
"🫥","1,079"
"🪚","1,079"
"🏃‍♂️","1,075"
"🖕🏻","1,070"
"🚰","1,069"
"🌝","1,065"
"🧋","1,064"
"👃","1,064"
"🇸🇮","1,060"
"🇱🇺","1,059"
"👐","1,053"
"🖖","1,049"
"🪂","1,046"
"🔰","1,045"
"🥜","1,043"
"👼","1,042"
"🔙","1,041"
"🪱","1,040"
"🎅🏼","1,034"
"✒️","1,034"
"🌄","1,031"
"🔶","1,029"
"⛅","1,029"
"🐁","1,023"
"🪢","1,019"
"👸🏼","1,017"
"🏳️","1,016"
"👯","1,015"
"🇬🇪","1,014"
"👨‍🏫","1,011"
"⛈️","1,010"
"🌆","1,008"
"🧂","1,007"
"🪥","1,001"
