"code","value"
"😐","620"
"4️⃣","620"
"🦋","619"
"🤌","618"
"✉️","617"
"🥇","616"
"🎌","615"
"🚩","611"
"🗓️","611"
"😞","610"
"💃","609"
"🌺","608"
"🧊","605"
"🌠","605"
"😒","603"
"🛠️","600"
"🥴","596"
"🤎","596"
"🌴","594"
"📄","593"
"🍺","593"
"🪩","592"
"🥱","591"
"🍕","591"
"🔒","586"
"👅","586"
"🟠","579"
"🤷","578"
"🎓","572"
"😵","571"
"📁","568"
"📊","565"
"🐢","565"
"🏳️‍⚧️","565"
"🎲","565"
"🌷","562"
"🫀","561"
"🤝🏻","561"
"🍉","561"
"💘","557"
"⁉️","556"
"🏢","555"
"🪷","554"
"🍄‍🟫","551"
"♻️","547"
"🐕","542"
"🏫","542"
"🍫","542"
"🙋","541"
"👊","540"
"🟩","539"
"😟","539"
"💣","539"
"📰","538"
"🌲","538"
"🔮","537"
"🎸","535"
"🍌","535"
"🦊","534"
"🕯️","533"
"🍱","533"
"🦉","532"
"😑","532"
"💍","530"
"⚜️","530"
"🪇","529"
"🌧️","529"
"💴","528"
"☹️","528"
"😖","526"
"🐝","526"
"🍄","526"
"🌌","522"
"🍊","521"
"🇦🇪","521"
"🏯","520"
"🦇","518"
"🍅","518"
"🦅","517"
"🐧","517"
"🍬","517"
"5️⃣","517"
"♥️","513"
"😯","511"
"🌀","511"
"⛄","511"
"🐺","510"
"🚬","509"
"⌛","508"
"🥚","506"
"🪦","505"
"🛏️","504"
"👶","503"
"⏳","503"
"😙","502"
"🍙","502"
"🍳","501"
"🔪","498"
"🍒","498"
"🎬","496"
"💵","492"
"⚾","492"
"😶‍🌫️","490"
"🥩","489"
"🫢","488"
"🎈","488"
"🍿","488"
"🔑","485"
"🍷","485"
"👍🏻","483"
"🎙️","479"
"🧿","477"
"💢","477"
"🍰","477"
"😗","476"
"🤦","475"
"🐼","475"
"🌕","475"
"☎️","474"
"⏱️","474"
"🎫","471"
"🦁","470"
"🐇","470"
"🧪","469"
"🗑️","469"
"👘","468"
"⚪","468"
"🟦","467"
"💅","465"
"🤠","464"
"😺","461"
"🕺","457"
"🦀","454"
"🏝️","454"
"🏀","454"
"🚌","452"
"🐸","450"
"👂","449"
"🍋‍🟩","449"
"🌒","449"
"📕","448"
"🇲🇾","447"
"🤢","446"
"🎰","445"
"🏎️","442"
"🍲","442"
"💼","441"
"🍴","438"
"➕","438"
"🏡","437"
"🆗","437"
"👤","436"
"🫐","433"
"🛜","431"
"🧳","430"
"🙁","430"
"🦖","429"
"🟨","429"
"😕","429"
"🦄","426"
"🐔","426"
"🍭","425"
"🐣","424"
"🌶️","424"
"⚫","424"
"📲","423"
"🔧","422"
"🍚","421"
"💪🏻","420"
"🪐","419"
"🫥","418"
"🎹","418"
"🛡️","416"
"🏴‍☠️","416"
"🍹","415"
"🔹","414"
"🍋","413"
"🎋","412"
"🫛","411"
"😻","408"
"🏴󠁧󠁢󠁥󠁮󠁧󠁿","408"
"🚚","407"
"🗡️","407"
"🍇","406"
"👺","403"
"🏮","401"
"☔","401"
"🔨","400"
"🇲🇽","400"
"🐙","398"
"🪭","397"
"🍞","397"
"🍪","395"
"🟣","392"
"🎇","392"
"🍦","392"
"🚅","390"
"🎭","390"
"⚖️","388"
"🛫","387"
"🌍","387"
"😸","386"
"🎞️","386"
"🦭","384"
"✂️","384"
"♾️","384"
"🧋","382"
"🐷","382"
"🐐","382"
"🌅","381"
"㊙️","381"
"😶","379"
"📹","379"
"👴","379"
"💊","378"
"🛸","376"
"🔄","376"
"💿","373"
"🇺🇦","373"
"🪞","371"
"⬅️","371"
"🐯","370"
"🐒","370"
"👿","369"
"🐎","368"
"6️⃣","366"
"🤐","365"
"😹","365"
"📆","365"
"🌔","365"
"🍖","364"
"✝️","364"
"⛔","364"
"🚲","361"
"😼","361"
"🖊️","361"
"🐻‍❄️","361"
"🌾","360"
"🪻","359"
"🔋","359"
"🦈","355"
"♂️","353"
"❎","351"
"📘","350"
"🍡","349"
"☘️","348"
"🪵","347"
"🌚","347"
"✋","347"
"🚢","346"
"👧","346"
"⬜","346"
"🏁","345"
"🏰","344"
"🔺","343"
"🥊","342"
"🚆","342"
"🏞️","342"
"🐬","341"
"📩","340"
"👆","340"
"🇳🇱","340"
"❔","339"
"♀️","338"
"🥕","337"
"🇲🇳","337"
"🥁","336"
"🕷️","336"
"🥛","335"
"🍩","334"
"😪","333"
"🔸","333"
"🤧","332"
"👼","332"
"🐲","332"
"🌝","331"
"👥","330"
"🐦‍⬛","329"
"🛑","327"
"⛓️‍💥","326"
"🕶️","325"
"🇮🇱","325"
"🍛","323"
"☂️","323"
"🧑‍💻","322"
"🚪","322"
"🍨","322"
"🍗","322"
"💳","321"
"🥸","319"
"🎟️","319"
"🥈","317"
"🖌️","317"
"👮","317"
"🧩","316"
"🤏","315"
"💉","315"
"🪨","314"
"🧹","314"
"😷","314"
"🇳🇵","314"
"7️⃣","313"
"🐛","312"
"🏔️","312"
"🧧","311"
"💁‍♀️","311"
"🧵","309"
"🦆","309"
"🇨🇭","309"
"🥤","308"
"🕹️","308"
"🏅","307"
"🍸","307"
"🍝","306"
"◻️","306"
"🤘","305"
"🙋‍♂️","305"
"👩","304"
"🇪🇺","304"
"☢️","304"
"🏨","303"
"🍟","303"
"🍏","303"
"🃏","303"
"🔁","302"
"👓","302"
"🌘","302"
"🥞","301"
"👄","300"
"🇸🇪","300"
"🇵🇱","299"
"🙆🏻‍♀️","298"
"🗒️","298"
"💠","297"
"🇳🇿","297"
"😿","296"
"💾","296"
"🎍","296"
"🙇🏻","295"
"🪳","294"
"🤷‍♂️","294"
"🐿️","294"
"⬛","294"
"🧟","293"
"🤲🏻","293"
"🕸️","293"
"🇹🇷","293"
"😽","292"
"🔖","292"
"🥐","291"
"📃","291"
"🦷","290"
"👨","290"
"🏥","288"
"♠️","288"
"👋🏻","287"
"🫃","285"
"🧀","284"
"🏙️","284"
"🍧","284"
"🙌🏻","283"
"🐵","283"
"🎼","283"
"🧱","282"
"👟","282"
"🔜","281"
"🍯","281"
"✖️","281"
"🫆","280"
"🧁","280"
"🥦","280"
"📒","280"
"🙆","279"
"🎣","279"
"🎐","279"
"🍾","279"
"🦴","278"
"🤙","278"
"👕","278"
"🐮","278"
"🧭","276"
"🧬","276"
"🌋","276"
"📉","275"
"👏🏻","275"
"🐘","275"
"🧨","274"
"💲","274"
"🚶","272"
"🙆‍♀️","272"
"🗽","272"
"🫚","271"
"⌚","271"
"💁","270"
"👶🏻","269"
"🐠","269"
"👣","268"
"🫘","267"
"🙋‍♀️","267"
"🏹","267"
"🥭","265"
"🎩","265"
"8️⃣","265"
"🦠","264"
"🦍","264"
"🌖","264"
"👨‍💻","263"
"🫪","262"
"🪴","262"
"🪪","261"
"🦐","261"
"🎒","261"
"🥬","260"
"🚇","260"
"⚰️","260"
"🔽","259"
"🐤","259"
"🍶","259"
"🆘","259"
"🥉","257"
"🔱","256"
"🐑","256"
"🌑","256"
"🙀","255"
"📑","255"
"🫶🏼","254"
"🥝","254"
"👉🏻","254"
"🐹","254"
"🌮","254"
"🪶","253"
"🐋","253"
"👪","252"
"🏷️","252"
"📽️","251"
"🐨","251"
"🗳️","249"
"🪿","248"
"🌇","248"
"🛬","247"
"🚽","247"
"🐄","247"
"🌰","247"
"🫟","246"
"🙊","246"
"🎾","246"
"👗","245"
"🏛️","245"
"🫖","244"
