"code","value"
"🍷","8,012"
"🍫","7,974"
"🟠","7,970"
"🌌","7,957"
"🧊","7,794"
"✂️","7,758"
"🔑","7,757"
"🇮🇱","7,699"
"🧒","7,688"
"♀️","7,666"
"🌱","7,659"
"🟣","7,641"
"📕","7,628"
"🕷️","7,610"
"😢","7,590"
"☯️","7,583"
"🐰","7,578"
"🌳","7,562"
"🔨","7,543"
"🐱","7,523"
"🎸","7,518"
"🕯️","7,494"
"🍁","7,493"
"🌴","7,447"
"💧","7,445"
"⚜️","7,440"
"🐍","7,404"
"🤏","7,339"
"🏴‍☠️","7,337"
"😜","7,326"
"😆","7,266"
"2️⃣","7,254"
"🥊","7,237"
"🌿","7,236"
"‼️","7,228"
"🇨🇳","7,199"
"🏀","7,163"
"🛠️","7,158"
"🪐","7,138"
"🦷","7,123"
"💞","7,081"
"😌","7,054"
"😇","7,048"
"🍽️","7,037"
"🦈","6,958"
"🪷","6,889"
"👤","6,884"
"💌","6,880"
"🗓️","6,849"
"🇵🇸","6,831"
"®️","6,780"
"🖼️","6,708"
"🔋","6,689"
"🥈","6,677"
"🐝","6,642"
"🤮","6,624"
"👩‍❤️‍👨","6,624"
"👶","6,619"
"🤘","6,571"
"🕸️","6,567"
"🍌","6,537"
"🧪","6,530"
"⚫","6,483"
"🥷🏻","6,458"
"🎙️","6,434"
"🙏🏻","6,418"
"👪","6,378"
"👈","6,363"
"✉️","6,321"
"🙃","6,253"
"🧐","6,230"
"👹","6,209"
"👅","6,209"
"🙂‍↕️","6,196"
"🤪","6,186"
"🐟","6,176"
"👨‍💻","6,161"
"😯","6,158"
"📏","6,158"
"😨","6,158"
"🦉","6,144"
"⬆️","6,096"
"⚪","6,089"
"💘","6,086"
"😲","6,075"
"🗑️","6,067"
"🍑","6,035"
"Ⓜ️","6,016"
"🫵🏾","6,006"
"🥱","5,990"
"👎","5,979"
"✌️","5,977"
"🐆","5,970"
"📄","5,968"
"🏴󠁧󠁢󠁥󠁮󠁧󠁿","5,948"
"🔓","5,935"
"🩰","5,932"
"🧉","5,930"
"💃","5,861"
"🛜","5,843"
"🍎","5,842"
"🕹️","5,835"
"🐊","5,825"
"🪶","5,796"
"🟥","5,795"
"😵‍💫","5,795"
"👥","5,770"
"🏐","5,747"
"🌑","5,708"
"🥉","5,692"
"🐇","5,684"
"🏁","5,677"
"🗡️","5,637"
"📁","5,634"
"😬","5,629"
"🚧","5,603"
"🥷🏽","5,602"
"3️⃣","5,601"
"🍆","5,599"
"🐔","5,561"
"👺","5,534"
"🍒","5,521"
"😝","5,485"
"🇨🇱","5,484"
"🐎","5,450"
"🍯","5,428"
"♿","5,394"
"🍻","5,365"
"🤙","5,353"
"🍪","5,351"
"👩","5,350"
"💈","5,305"
"🙂‍↔️","5,303"
"🧟","5,207"
"🇵🇾","5,205"
"💫","5,204"
"🏥","5,201"
"🌽","5,199"
"🥚","5,190"
"😞","5,176"
"🟩","5,174"
"🌕","5,155"
"🛑","5,136"
"📃","5,090"
"🐕","5,083"
"🛏️","5,073"
"🏡","5,072"
"🌶️","5,070"
"☂️","5,065"
"😐","5,054"
"🛸","5,053"
"🪦","5,052"
"😰","5,051"
"📓","5,036"
"🔧","5,034"
"👕","5,029"
"🐯","5,028"
"🙈","5,009"
"🔐","5,008"
"😻","4,993"
"👇🏻","4,988"
"♻️","4,982"
"🔝","4,964"
"🌀","4,955"
"⬜","4,935"
"🎖️","4,915"
"😥","4,912"
"🎊","4,882"
"🦴","4,865"
"🏢","4,852"
"🏰","4,841"
"🌞","4,815"
"🖌️","4,801"
"🐀","4,799"
"🧬","4,795"
"🧱","4,785"
"🐂","4,767"
"👌","4,762"
"📻","4,759"
"👉🏻","4,752"
"🐦","4,749"
"🍄","4,716"
"🖊️","4,705"
"🏷️","4,699"
"⚰️","4,682"
"🐸","4,654"
"🪨","4,640"
"🇰🇷","4,627"
"🍾","4,611"
"🌪️","4,610"
"☢️","4,605"
"📹","4,603"
"😕","4,585"
"😒","4,584"
"📆","4,576"
"🏅","4,508"
"🟨","4,483"
"🇭🇺","4,474"
"🥷🏿","4,470"
"⌚","4,445"
"🇨🇦","4,430"
"🎡","4,395"
"📿","4,379"
"🎞️","4,365"
"🎟️","4,354"
"☄️","4,352"
"🚌","4,324"
"🌵","4,318"
"4️⃣","4,314"
"📘","4,308"
"🏝️","4,301"
"🤌🏻","4,289"
"➕","4,273"
"🏛️","4,254"
"🫨","4,224"
"🫶🏿","4,204"
"🏗️","4,182"
"💐","4,168"
"⚓","4,162"
"⛪","4,161"
"🧭","4,155"
"🌷","4,147"
"😮","4,141"
"🥩","4,116"
"☎️","4,095"
"💅🏻","4,080"
"🍼","4,077"
"📎","4,053"
"📽️","4,032"
"😩","4,031"
"🧑‍💻","4,001"
"🏄","4,001"
"🏋️‍♂️","3,987"
"🙁","3,949"
"🧙","3,934"
"🥗","3,915"
"🛵","3,914"
"🖕🏻","3,897"
"🦍","3,895"
"👆","3,885"
"🔄","3,872"
"🪓","3,871"
"🔹","3,870"
"🐼","3,867"
"🇳🇱","3,861"
"⛏️","3,851"
"😛","3,843"
"♂️","3,838"
"✋","3,831"
"🪢","3,804"
"🌠","3,793"
"🧹","3,789"
"📑","3,778"
"🏫","3,772"
"🧳","3,764"
"🍅","3,761"
"🛣️","3,760"
"🐧","3,760"
"🩹","3,751"
"🟦","3,749"
"🏊","3,747"
"🌘","3,745"
"🥸","3,734"
"👍🏻","3,728"
"⏱️","3,726"
"🥁","3,718"
"📩","3,714"
"🧶","3,711"
"💓","3,709"
"📒","3,680"
"🪂","3,675"
"👼","3,668"
"😟","3,657"
"🕵️","3,651"
"🥛","3,647"
"🎒","3,643"
"😓","3,621"
"🌒","3,613"
"🍹","3,601"
"🍭","3,599"
"🤰","3,597"
"🍬","3,592"
"🌼","3,592"
"🥷🏼","3,569"
"🪪","3,568"
"🏦","3,566"
"🌍","3,565"
"💢","3,549"
"🔰","3,541"
"🇹🇷","3,540"
"🍞","3,527"
"🍉","3,523"
"😤","3,522"
"🛹","3,513"
"🌧️","3,513"
"🥷🏾","3,487"
"👓","3,476"
"🍇","3,466"
"🥤","3,465"
"😠","3,462"
"🆗","3,461"
"⛓️","3,454"
"🫰🏻","3,453"
"🐢","3,440"
"💝","3,432"
"🇹🇭","3,414"
"🗽","3,389"
"🍰","3,373"
"🆘","3,366"
"🐄","3,358"
"♥️","3,353"
"💄","3,352"
"🩻","3,349"
"👨‍⚕️","3,348"
"🎇","3,338"
"👙","3,328"
"🧀","3,313"
"🔁","3,309"
"🦄","3,300"
"🖱️","3,287"
"🫏","3,282"
"🥴","3,279"
"🚘","3,272"
"🧛","3,268"
"🌬️","3,268"
"🩴","3,261"
